Name,Date,Frequency,Flux Density,Uncertainty,Upper Limit,Source Paper,Instrument,"EMERLIN, VLBA, EVN make note",Explosion Date,Date Source,Distance (Mpc),Distance Uncertainty,Distance Source
1993J,49158,15,67900,6790,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49159,15,70900,7090,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49160,15,71300,7130,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49161,15,72000,7200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49162,15,72200,7220,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49163,1.5,2850,314,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49163,5,79780,4018,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49163,8.33,101370,5094,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49163,25,51829,5212,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49163,15,75860,5695,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49169,1.5,2940,330,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49169,5,87200,4379,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49169,25,44850,4552,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49169,8.33,102730,5138,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49169,15,73660,5539,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49169,15,75000,7500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49171,99.4,16000,3200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49175,15,69100,6910,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49176,1.5,4090,436,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49176,5,102670,5142,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49176,8.33,129360,6472,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49176,15,70000,7000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49181,1.5,6840,694,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49181,5,111420,5583,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49181,8.33,134220,6716,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49181,15,89190,6718,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49187,1.5,6520,657,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49187,25,47630,4820,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49187,5,104370,5223,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49187,8.33,108630,5434,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49187,15,72960,5488,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49188,15,70900,7090,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49198,1.5,9770,982,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49198,25,41680,4457,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49198,15,62920,4761,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49198,8.33,103430,5179,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49198,5,110540,5539,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49198,15,64900,6490,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49201,15,56700,5670,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49203,15,56800,5680,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49204,15,61300,6130,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49205,1.5,11720,1430,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49205,15,58860,4513,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49205,8.33,115980,6075,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49205,5,116930,6236,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49209,1.5,16747,1752,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49209,25,19540,2223,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49209,15,37856,2884,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49209,8.33,84150,4223,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49209,5,112510,5660,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49211,1.5,17193,1964,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49211,25,26270,2859,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49211,15,42091,3219,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49211,5,110230,5523,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49212,15,54700,5470,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49213,15,56200,5620,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49215,15,56600,5660,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49216,1.5,15180,1583,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49216,25,31360,3651,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49216,8.33,92280,4904,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49216,5,113720,5971,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49219,15,60600,6060,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49220,15,54800,5480,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49221,15,57400,5740,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49222,1.5,15137,1576,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49222,25,36350,3716,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49222,15,59740,4502,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49222,8.33,88740,4574,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49222,5,112250,5925,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49224,15,56100,5610,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49225,1.5,17560,1906,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49225,25,35540,4317,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49225,8.33,102840,5334,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49225,5,120120,6057,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49228,15,49700,4970,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49230,25,27964,2990,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49230,15,47432,3618,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49230,8.33,92185,4688,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49230,5,111520,5620,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49232,15,50200,5020,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49233,15,50600,5060,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49235,15,47800,4780,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49236,15,48500,4850,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49239,15,48300,4830,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49241,1.5,22790,2751,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49241,5,103650,5202,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49242,99.4,13000,3000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49243,15,48100,4810,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49245,15,45100,4510,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49248,15,49500,3732,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49248,25,39100,3918,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49248,8.33,78700,3984,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49248,15,43500,4350,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49249,25,22630,2302,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49249,15,37243,2810,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49249,15,49500,3000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49249,1.5,26870,3148,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49249,8.33,61341,3207,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49249,8.33,78700,4000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49249,5,103990,5211,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49255,15,44800,4480,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49256,25,28000,2864,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49256,15,43950,3324,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49256,1.5,30940,3488,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49256,8.33,70460,3594,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49256,5,104930,5268,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49257,15,43400,4340,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49259,15,42700,4270,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49264,25,24152,2437,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49264,15,39930,3006,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49264,1.5,28303,3098,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49264,8.33,68947,3491,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49264,15,39800,3980,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49264,5,100050,5013,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49268,15,43700,4370,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49269,99.4,8000,2000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49269,15,42700,4270,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49276,15,44100,4410,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49277,25,15970,1939,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49277,15,24650,2003,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49277,8.33,65150,3791,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49277,1.5,35770,3982,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49277,5,99880,5012,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49285,25,23640,2486,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49285,15,37320,2830,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49285,1.5,33220,3662,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49285,15,37900,3790,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49285,5,97260,4905,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49292,1.5,24590,2478,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49292,15,38930,2954,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49292,25,30360,3101,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49292,8.33,67210,3471,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49292,5,105560,5474,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49296,15,37800,3780,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49297,15,39600,2000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49297,8.33,64700,3200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49297,15,38400,3840,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49297,25,25700,3900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49297,5,97600,4900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49297,1.5,61500,5800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49301,15,39700,3970,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49302,15,36400,3640,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49305,99.4,8000,1700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49307,15,37100,3710,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49310,25,25790,2643,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49310,15,38610,2921,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49310,8.33,64320,3252,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49310,1.5,34510,3466,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49310,5,97110,4924,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49311,15,35400,3540,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49314,15,36100,3610,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49319,25,26140,2701,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49319,15,36840,2813,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49319,8.33,61470,3083,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49319,5,94940,4758,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49319,1.5,47020,5230,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49320,15,32200,3220,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49322,15,35500,3550,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49323,15,32700,3270,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49324,15,32600,3260,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49326,15,32290,2440,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49326,25,23720,2468,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49326,8.33,59630,2994,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49326,15,33500,3350,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49326,5,91660,4674,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49326,1.5,59100,6118,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49327,15,32600,3260,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49338,15,33200,1700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49338,25,27400,2000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49338,8.33,57100,2900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49338,1.5,86300,4700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49338,5,93300,4700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49340,25,22260,2365,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49340,15,34300,2625,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49340,8.33,56880,2873,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49340,5,89160,4517,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49340,1.5,63110,6642,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49341,15,34000,3400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49343,15,32900,3290,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49345,15,32500,3250,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49346,15,33300,3330,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49347,25,23520,2472,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49347,15,33280,2525,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49347,8.33,55750,3156,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49347,5,87350,4396,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49347,1.5,63590,6522,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49349,15,34500,3450,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49355,15,33200,3320,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49359,25,23080,2357,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49359,15,33740,2547,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49359,8.33,55740,2817,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49359,5,84470,4238,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49359,1.5,58780,5965,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49362,15,34000,3400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49365,25,23420,2373,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49365,15,32480,2449,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49365,8.33,54640,2804,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49365,5,84850,4267,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49365,1.5,58900,5957,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49379,25,22140,2302,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49379,15,32260,2443,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49379,8.33,55430,2832,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49379,5,80860,4052,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49379,1.5,50400,5125,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49380,8.33,52200,2600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49380,15,29200,2900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49380,15,29900,2990,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49380,5,80400,4000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49388,15,30200,3020,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49389,15,31230,2395,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49389,25,24950,2614,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49389,8.33,60240,3106,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49389,5,94640,4804,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49389,1.5,60830,6472,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49396,15,27800,2780,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49398,15,26600,2660,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49399,25,17980,2057,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49399,8.33,49420,2490,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49399,15,34350,2610,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
