,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label,random
929,HfMoSi,0.149,0.623843642,MgSrSi (Pnma),14,Common non-HH Prototype,-0.35
522,AuGaSb,0.148,0.101235956,phase_separating,19,Phase Separating,0.88
1897,CdInSn,0.147,0.051841393,phase_separating,19,Phase Separating,-0.25
1472,NdAuPb,0.147,0,AsHgK (P63/mmc),21,Common non-HH Prototype,0.12
93,HfGeTe,0.146,0.647459741,[UP2#UAs2],14,Other non-HH Prototype,-0.91
591,AuGeTe,0.146,0.176308145,phase_separating,21,Phase Separating,0.82
1406,TmPtGe,0.145,0.178733397,MgSrSi (Pnma),29,Common non-HH Prototype,0.64
615,LaZnIn,0.145,0.044471883,AsHgK (P63/mmc),18,Common non-HH Prototype,0.19
119,TbIrGa,0.145,0.258257279,MgSrSi (Pnma),23,Common non-HH Prototype,0.43
1196,LaPdIn,0.144,0.170364684,MoNiP (P-62m),22,Common non-HH Prototype,0.09
1048,SmPtIn,0.144,0.151535814,MoNiP (P-62m),21,Common non-HH Prototype,0.4
1252,NbFeSb,0.143,0,Half Heusler (F-43m),18,Half Heusler,0.06
1853,YbHgSn,0.143,0.0239285,LiGaGe (P63mc),32,Common non-HH Prototype,-0.13
1004,YbRhSb,0.142,0.169015434,MgSrSi (Pnma),30,Common non-HH Prototype,-0.22
1189,GdPtAs,0.142,0.111203144,[YPtAs],18,Other non-HH Prototype,0.18
1917,DyNiPb,0.142,0.030071952,MgSrSi (Pnma),26,Common non-HH Prototype,0.65
721,CeRhPb,0.141,0.152354149,MoNiP (P-62m),16,Common non-HH Prototype,0.87
44,UCrFe,0.141,0.605995109,[Laves(cub)#MgCu2],17,Other non-HH Prototype,-0.7
421,TmCuIn,0.138,0.116612472,MoNiP (P-62m),29,Common non-HH Prototype,-0.7
1217,LuNiSi,0.138,0.269651141,MgSrSi (Pnma),17,Common non-HH Prototype,0.53
840,LaNiZn,0.137,0.158254403,MoNiP (P-62m),25,Common non-HH Prototype,0.19
70,YCrB,0.137,0.698641498,phase_separating,12,Phase Separating,-0.27
1311,ScAuSn,0.137,0,Half Heusler (F-43m),18,Half Heusler,0.9
1907,TiFeCo,0.137,0.47021715,phase_separating,21,Phase Separating,-0.7
716,YNiSn,0.136,0.082178428,MgSrSi (Pnma),17,Common non-HH Prototype,-0.51
1003,ScFeAl,0.136,0.424003962,[MgZn2],14,Other non-HH Prototype,-0.54
909,ErFeCo,0.136,0.431957043,[Laves(cub)#MgCu2],31,Other non-HH Prototype,0.13
1892,SrMgSi,0.136,0.141663092,MgSrSi (Pnma),20,Common non-HH Prototype,0.06
352,NbCrSi,0.136,0.667439771,MoNiP (P-62m),15,Common non-HH Prototype,0.55
1841,LiInGe,0.135,0,Half Heusler (F-43m),10,Half Heusler,0.67
924,ZrCoAs,0.135,0.01871986,[HoNiGa],18,Other non-HH Prototype,0.19
108,LuNiSn,0.135,0.047271952,MgSrSi (Pnma),17,Common non-HH Prototype,-0.19
1462,ScPtGe,0.134,0.075705652,MgSrSi (Pnma),17,Common non-HH Prototype,-0.42
1928,MoNiPd,0.132,0.568555532,phase_separating,32,Phase Separating,0.07
31,ScAuSi,0.131,0.099577108,[ScAuSi],18,Other non-HH Prototype,0.17
1770,BaCdPb,0.131,0.125700131,[KHg2],24,Other non-HH Prototype,-0.22
1153,MgYCu,0.131,0.184093118,MoNiP (P-62m),22,Common non-HH Prototype,-0.66
123,YIrGe,0.13,0.365118794,MgSrSi (Pnma),16,Common non-HH Prototype,-0.83
1741,TmNiSb,0.129,0,Half Heusler (F-43m),30,Half Heusler,-0.29
1671,YAuPb,0.127,0,Half Heusler (F-43m),18,Half Heusler,-0.61
1915,YRhGa,0.127,0.247196118,MgSrSi (Pnma),15,Common non-HH Prototype,-0.22
1344,GdCoSn,0.126,0.176633339,MgSrSi (Pnma),16,Common non-HH Prototype,-0.41
411,YbPdAl,0.125,0.269987855,MgSrSi (Pnma),35,Common non-HH Prototype,0.46
1352,TmPdAl,0.124,0.265374563,MgSrSi (Pnma),34,Common non-HH Prototype,-0.64
600,CeRhSi,0.124,0.511763052,[ZrSO],16,Other non-HH Prototype,0.22
1470,NbFeGa,0.124,0.324158331,[MgZn2],16,Other non-HH Prototype,0.04
304,TaZnAl,0.124,0.638337151,[MgZn2],20,Other non-HH Prototype,-0.87
368,UGeTe,0.124,0.550764418,[UGeTe],13,Other non-HH Prototype,0.94
323,ErRhPb,0.123,0.111293167,[InMg2],27,Other non-HH Prototype,-0.32
595,YbPdZn,0.123,0.181357728,MgSrSi (Pnma),44,Common non-HH Prototype,-0.67
1709,HfZrTi,0.123,0.808554725,phase_separating,12,Phase Separating,0.35
1568,BaZnSn,0.122,0.15601709,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.73
1088,LuAgSi,0.122,0.19403623,MoNiP (P-62m),18,Common non-HH Prototype,0.82
294,AgPbSb,0.122,0.021238426,phase_separating,20,Phase Separating,0.75
1280,TaSiAs,0.122,0.877184732,[UP2#UAs2],14,Other non-HH Prototype,0.49
1796,TmIrGa,0.122,0.234496454,MgSrSi (Pnma),27,Common non-HH Prototype,0.9
285,TbPtGe,0.122,0.221982478,MgSrSi (Pnma),25,Common non-HH Prototype,-0.65
1407,SmRhGe,0.121,0.330535547,MgSrSi (Pnma),21,Common non-HH Prototype,-0.43
1100,DyRuGe,0.12,0.405081194,MgSrSi (Pnma),24,Common non-HH Prototype,-0.53
1271,TiRhSn,0.12,0.055384368,Half Heusler (F-43m),17,Half Heusler,-0.06
805,MgMoNi,0.119,0.53799316,phase_separating,24,Phase Separating,-0.96
1366,ZrFeGa,0.119,0.397408441,phase_separating,15,Phase Separating,-0.56
777,GdPtGa,0.118,0.239243956,MgSrSi (Pnma),16,Common non-HH Prototype,-0.04
1827,TmIrSn,0.118,0.135945937,MoNiP (P-62m),28,Common non-HH Prototype,-0.94
1326,LaRhAs,0.118,0.318311607,[LaPtSi],17,Other non-HH Prototype,-0.09
1005,DyCoSn,0.118,0.145737053,MgSrSi (Pnma),25,Common non-HH Prototype,0.7
1061,YbRhAl,0.118,0.291373218,MgSrSi (Pnma),28,Common non-HH Prototype,0.36
1889,HfCrAl,0.117,0.748520623,[MgZn2],13,Other non-HH Prototype,0.15
597,ErCuIn,0.117,0.11593406,MoNiP (P-62m),28,Common non-HH Prototype,-0.9
174,ZrWB,0.116,0.674779375,phase_separating,13,Phase Separating,-0.96
650,TmRhAl,0.116,0.268903216,MgSrSi (Pnma),27,Common non-HH Prototype,0.46
288,BaCdGe,0.116,0.125242972,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.54
1504,ErMnGe,0.116,0.357894315,MgSrSi (Pnma),25,Common non-HH Prototype,-0.21
801,TmCoGe,0.116,0.31118803,MgSrSi (Pnma),28,Common non-HH Prototype,0.03
1452,LuAuSn,0.116,0,Half Heusler (F-43m),18,Half Heusler,-0.55
1559,HfAuGa,0.115,0.028954383,[ScAuSi],18,Other non-HH Prototype,-0.13
614,YbMgPb,0.115,0.089865558,MoNiP (P-62m),28,Common non-HH Prototype,-0.89
1886,ErGaAs,0.115,0.623499447,phase_separating,22,Phase Separating,-0.7
1133,TiVW,0.115,0.766053622,phase_separating,15,Phase Separating,0.22
1107,SrPdAs,0.114,0.37779932,AsHgK (P63/mmc),29,Common non-HH Prototype,-0.76
173,NbCoAl,0.113,0.193926066,phase_separating,17,Phase Separating,0.12
483,DyAuGe,0.112,0.079688187,LiGaGe (P63mc),27,Common non-HH Prototype,0.73
1343,DyRhSn,0.112,0.166070991,MoNiP (P-62m),25,Common non-HH Prototype,0.39
539,MgYPd,0.112,0.159038176,MoNiP (P-62m),27,Common non-HH Prototype,-0.69
553,ErRhSi,0.111,0.426329779,MgSrSi (Pnma),27,Common non-HH Prototype,-0.99
512,ZrVAl,0.111,0.737571994,[MgZn2],12,Other non-HH Prototype,0
53,LiMgSi,0.111,0.184185606,phase_separating,15,Phase Separating,0.72
744,EuLiSb,0.111,0.155796407,MgSrSi (Pnma),17,Common non-HH Prototype,-0.59
405,URhSn,0.111,0.149615009,MoNiP (P-62m),16,Common non-HH Prototype,0.69
384,BaCaPb,0.11,0.124001756,MgSrSi (Pnma),20,Common non-HH Prototype,-0.97
1077,YbAuZn,0.11,0.150948161,MgSrSi (Pnma),39,Common non-HH Prototype,-0.6
962,SrInGe,0.109,0.171547513,[EuInGe],15,Other non-HH Prototype,-0.72
824,NpCoGe,0.109,0.161036077,MgSrSi (Pnma),16,Common non-HH Prototype,-0.3
1121,HfReSi,0.109,0.784231831,MoNiP (P-62m),15,Common non-HH Prototype,0.92
1668,CeNdSi,0.108,0.097830995,phase_separating,13,Phase Separating,0.71
1553,HfCoGe,0.108,0.160655753,MgSrSi (Pnma),17,Common non-HH Prototype,1
369,EuPtZn,0.108,0.228723138,MgSrSi (Pnma),31,Common non-HH Prototype,-0.85
1702,YbNiSb,0.107,0.107999632,Half Heusler (F-43m),31,Half Heusler,0.81
609,YbLiGe,0.107,0.285659329,MoNiP (P-62m),23,Common non-HH Prototype,-0.88
1510,PtPbTe,0.107,0.102226978,[FeS2],20,Other non-HH Prototype,0.58
1335,EuPdPb,0.107,0.143064808,MgSrSi (Pnma),29,Common non-HH Prototype,0.37
118,YPtGa,0.107,0.24493127,MgSrSi (Pnma),16,Common non-HH Prototype,-0.63
1032,LaMgIr,0.106,0.173806754,[LaNiAl],20,Other non-HH Prototype,-0.72
1925,PrMgPt,0.106,0.157098827,MoNiP (P-62m),23,Common non-HH Prototype,0.61
1257,LaIrSi,0.106,0.593085922,[ZrSO],16,Other non-HH Prototype,-0.62
1711,LiMgAs,0.106,0,Half Heusler (F-43m),16,Half Heusler,0.28
72,URuGa,0.106,0.310088423,MoNiP (P-62m),14,Common non-HH Prototype,-0.91
1549,ScReB,0.105,0.588339445,phase_separating,13,Phase Separating,0.08
1674,KCuTe,0.105,0.313313542,AsHgK (P63/mmc),24,Common non-HH Prototype,0.53
1256,GdIrSn,0.104,0.1791469,MoNiP (P-62m),16,Common non-HH Prototype,0.41
479,CeCdTl,0.104,0.1292199,AsHgK (P63/mmc),18,Common non-HH Prototype,0.01
1632,ErIrIn,0.104,0.114988161,MoNiP (P-62m),26,Common non-HH Prototype,-0.24
158,TmCoAl,0.104,0.280249731,[MgZn2],27,Other non-HH Prototype,-0.96
1073,GdRhGe,0.103,0.323598472,MgSrSi (Pnma),16,Common non-HH Prototype,0.58
1148,HfIrSn,0.103,0,MoNiP (P-62m),17,Common non-HH Prototype,-0.41
1524,ErRhBi,0.103,0,MoNiP (P-62m),28,Common non-HH Prototype,0.49
515,GdRhSb,0.103,0.079182148,MgSrSi (Pnma),17,Common non-HH Prototype,0.7
783,ZrReCo,0.102,0.699304882,[MgZn2],20,Other non-HH Prototype,0.4
1826,DyNiZn,0.102,0.187723148,MoNiP (P-62m),34,Common non-HH Prototype,-0.62
565,LuCuGe,0.102,0.099033168,[CaIn2],18,Other non-HH Prototype,-0.7
1299,NbVSi,0.101,0.672620624,[MgZn2],14,Other non-HH Prototype,-0.6
1502,ScFeSi,0.101,0.474915245,MgSrSi (Pnma),15,Common non-HH Prototype,0.83
755,ZrFeCo,0.101,0.474804287,[Laves(cub)#MgCu2],21,Other non-HH Prototype,-0.09
154,PdPtSn,0.101,0.16674282,phase_separating,30,Phase Separating,0.19
816,YPdIn,0.101,0.206259836,MoNiP (P-62m),22,Common non-HH Prototype,0.37
24,BaMgSn,0.1,0.179799452,[PbClF],20,Other non-HH Prototype,0.4
443,TiFeSi,0.1,0.394542476,[TiFeSi],16,Other non-HH Prototype,0.01
1216,BaZnPb,0.099,0.112874969,AsHgK (P63/mmc),24,Common non-HH Prototype,0.08
249,MgCoZn,0.099,0.379434666,[Laves(cub)#MgCu2],29,Other non-HH Prototype,0.79
1163,LaPtPb,0.099,0.081773538,MoNiP (P-62m),17,Common non-HH Prototype,0.27
500,KLiTe,0.099,0.187191982,[PbClF],16,Other non-HH Prototype,0.97
212,CaMgCd,0.099,0.189356983,[MgZn2],28,Other non-HH Prototype,-0.01
1675,YbPdGa,0.098,0.21005308,MgSrSi (Pnma),35,Common non-HH Prototype,0.3
1926,HoPdPb,0.098,0.038811577,MoNiP (P-62m),33,Common non-HH Prototype,0.24
463,SmAsTe,0.097,0.593640517,MgSrSi (Pnma),19,Common non-HH Prototype,0.71
1790,TmSnGe,0.097,0.409984632,[MoAlB],23,Other non-HH Prototype,-0.92
120,UCoGe,0.097,0.091513992,MgSrSi (Pnma),16,Common non-HH Prototype,0.27
1716,ErRhGe,0.097,0.305181703,MgSrSi (Pnma),27,Common non-HH Prototype,-0.13
1232,NiZnSb,0.096,0,Half Heusler (F-43m),27,Half Heusler,0.91
933,HfPdAs,0.096,0.324472548,MoNiP (P-62m),25,Common non-HH Prototype,-0.82
922,VCrW,0.095,0.792810052,phase_separating,17,Phase Separating,-0.65
1739,CaCoSi,0.095,0.59841199,[PbClF],21,Other non-HH Prototype,-0.53
613,NbCrNi,0.094,0.673235164,[MgZn2],21,Other non-HH Prototype,-0.96
1534,CePtIn,0.094,0.16493048,MoNiP (P-62m),16,Common non-HH Prototype,-0.7
1355,GdMgIn,0.093,0.19253646,MoNiP (P-62m),14,Common non-HH Prototype,0.47
1214,SmCuIn,0.093,0.094967849,MoNiP (P-62m),22,Common non-HH Prototype,-0.53
1638,TbIrAl,0.093,0.275212796,MgSrSi (Pnma),23,Common non-HH Prototype,0.63
1677,EuHgPb,0.093,0.022026992,LiGaGe (P63mc),25,Common non-HH Prototype,-0.31
604,TiSiSb,0.093,0.683978009,[UP2#UAs2],13,Other non-HH Prototype,0.52
598,InPbSb,0.092,0.13472899,phase_separating,12,Phase Separating,0.98
1150,SrCuBi,0.092,0.108666584,AsHgK (P63/mmc),24,Common non-HH Prototype,0.99
1480,HoPtAs,0.091583333,0.069713255,[YPtAs],28,Other non-HH Prototype,-0.57
342,GdPdIn,0.091,0.170748771,MoNiP (P-62m),22,Common non-HH Prototype,0.91
1924,CaAuGa,0.09,0.215543988,MgSrSi (Pnma),22,Common non-HH Prototype,-0.94
1464,HfMnSi,0.09,0.544479497,MgSrSi (Pnma),15,Common non-HH Prototype,-0.58
247,GdScSi,0.09,0.17194594,[La2Sb],10,Other non-HH Prototype,-0.69
1772,YMnGe,0.089,0.41168868,MgSrSi (Pnma),14,Common non-HH Prototype,0.37
1543,CuCdSb,0.089,0.017753054,Half Heusler (F-43m),28,Half Heusler,0.15
402,EuLiBi,0.087,0.144143179,MgSrSi (Pnma),17,Common non-HH Prototype,-0.55
1662,UCuSn,0.087,0.195472689,AsHgK (P63/mmc),18,Common non-HH Prototype,-0.97
747,IrAsTe,0.087,0.328854222,[FeS2],20,Other non-HH Prototype,-0.77
1645,LaMnB,0.087,0.775970672,phase_separating,13,Phase Separating,0.29
1347,ZrVCo,0.086,0.494473794,[MgZn2],18,Other non-HH Prototype,-0.85
1013,HoMnGe,0.086,0.363738752,MgSrSi (Pnma),24,Common non-HH Prototype,0.7
938,LaPtAl,0.086,0.303290986,MgSrSi (Pnma),16,Common non-HH Prototype,-0.92
674,TmRuGe,0.086,0.391277696,MgSrSi (Pnma),27,Common non-HH Prototype,-0.21
1241,HoPdSb,0.086,0,Half Heusler (F-43m),34,Half Heusler,1
1292,CePdBi,0.085,0,Half Heusler (F-43m),24,Half Heusler,-0.76
309,CrAlSi,0.085,0.446564269,phase_separating,13,Phase Separating,-0.11
547,CdPbTe,0.085,0.295395072,phase_separating,22,Phase Separating,0.2
1598,EuCdPb,0.085,0.091282677,LiGaGe (P63mc),25,Common non-HH Prototype,-0.35
275,YbRhIn,0.085,0.129969115,MgSrSi (Pnma),28,Common non-HH Prototype,-0.91
603,TmCoSi,0.085,0.404773517,MgSrSi (Pnma),28,Common non-HH Prototype,-0.08
523,HoPtSi,0.084,0.327808543,MgSrSi (Pnma),27,Common non-HH Prototype,-0.96
1831,MnIrSn,0.084,0.143541613,Half Heusler (F-43m),20,Half Heusler,0.65
76,AgAuSb,0.084,0.026678109,phase_separating,27,Phase Separating,0.04
1742,DyRhBi,0.084,0,MoNiP (P-62m),26,Common non-HH Prototype,-0.85
121,LiPtIn,0.084,0.109940546,[LiBaSi],16,Other non-HH Prototype,-0.03
149,TbAuIn,0.084,0.100953626,MoNiP (P-62m),25,Common non-HH Prototype,0.02
87,CaGaSn,0.083,0.165156367,[YPtAs],15,Other non-HH Prototype,-0.65
1446,SmMgTl,0.083,0.148538628,MoNiP (P-62m),19,Common non-HH Prototype,0.33
170,HfOsGe,0.083,0.383372246,MoNiP (P-62m),16,Common non-HH Prototype,-0.18
1129,DyNiIn,0.081,0.15886856,MoNiP (P-62m),25,Common non-HH Prototype,-0.54
1258,LaCoSi,0.081,0.477885683,[PbClF],16,Other non-HH Prototype,-0.32
307,NdMgPt,0.081,0.152202009,MoNiP (P-62m),24,Common non-HH Prototype,-0.04
1484,TbIrSi,0.081,0.504592912,MgSrSi (Pnma),24,Common non-HH Prototype,0.82
662,ErRuSi,0.081,0.522605977,MgSrSi (Pnma),26,Common non-HH Prototype,0.91
1373,EuLiAs,0.081,0.126439925,MgSrSi (Pnma),17,Common non-HH Prototype,0.2
935,UCoGa,0.081,0.238161356,MoNiP (P-62m),15,Common non-HH Prototype,0.03
1409,ScFeB,0.081,0.547265777,phase_separating,14,Phase Separating,-0.7
543,MgYAl,0.08,0.221982616,MoNiP (P-62m),14,Common non-HH Prototype,-0.87
193,TmIrSi,0.08,0.478263905,MgSrSi (Pnma),28,Common non-HH Prototype,-0.77
55,GdCuCd,0.08,0.162424921,MoNiP (P-62m),26,Common non-HH Prototype,0.56
163,NdCdTl,0.08,0.126418315,AsHgK (P63/mmc),21,Common non-HH Prototype,-0.46
799,TaFeGa,0.08,0.363537836,[MgZn2],16,Other non-HH Prototype,-0.21
1607,NiAlGe,0.08,0.031824867,phase_separating,17,Phase Separating,0.12
1585,YbPdTl,0.08,0.092488734,MoNiP (P-62m),35,Common non-HH Prototype,-0.63
240,CdHgTe,0.079,0.236816563,phase_separating,30,Phase Separating,-0.42
1071,AgSbTe,0.079,0.23501071,phase_separating,22,Phase Separating,0.03
885,YbMgGe,0.078,0.070240403,MgSrSi (Pnma),28,Common non-HH Prototype,-0.69
1175,TiTaNb,0.078,0.792288117,phase_separating,14,Phase Separating,-0.51
1881,SrAuSb,0.078,0.115948082,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.12
748,ZrOsGe,0.077,0.441253981,MoNiP (P-62m),16,Common non-HH Prototype,0.33
1000,ErFeCu,0.077,0.510009373,[Laves(cub)#MgCu2],33,Other non-HH Prototype,1
1079,CeIrGa,0.077,0.292894332,MgSrSi (Pnma),15,Common non-HH Prototype,0.92
1400,YCoAl,0.077,0.287842414,[MgZn2],15,Other non-HH Prototype,-0.16
966,CoPbSb,0.077,0.28301786,phase_separating,18,Phase Separating,0.76
1006,NbCrGa,0.077,0.753028993,[MgZn2],14,Other non-HH Prototype,-0.69
114,CsAuTe,0.077,0.50608396,[RbAuTe],24,Other non-HH Prototype,-0.53
98,ZrMoFe,0.076,0.54414979,[MgZn2],18,Other non-HH Prototype,0.64
727,ScOsGe,0.076,0.45934612,MoNiP (P-62m),15,Common non-HH Prototype,0.14
1218,HoVB,0.076,0.795987922,phase_separating,21,Phase Separating,0.44
1779,MoNiGe,0.076,0.378861929,[MgZn2],20,Other non-HH Prototype,0.14
602,EuCdGe,0.075,0.048508723,MgSrSi (Pnma),25,Common non-HH Prototype,-0.91
845,HoRhGe,0.075,0.311044823,MgSrSi (Pnma),26,Common non-HH Prototype,-0.74
1812,HoNiSb,0.075,0,Half Heusler (F-43m),28,Half Heusler,0.22
1283,NbRhSb,0.075,0.153464854,Half Heusler (F-43m),19,Half Heusler,0.98
1297,GdPtPb,0.075,0.022650849,MoNiP (P-62m),17,Common non-HH Prototype,-0.77
1309,AgHgPb,0.075,0.106083153,phase_separating,27,Phase Separating,0.99
1869,TiNiCu,0.075,0.393808993,[AlCr2#MoSi2],25,Other non-HH Prototype,-0.94
1176,TiNbW,0.074,0.673078358,phase_separating,15,Phase Separating,0.42
1429,WFeCo,0.074,0.656540052,phase_separating,23,Phase Separating,-0.58
461,TlPbTe,0.074,0.266231634,phase_separating,13,Phase Separating,0.53
631,CePdPb,0.074,0.074977504,MoNiP (P-62m),23,Common non-HH Prototype,0.86
199,LaAuSb,0.073,0.130571951,[YPtAs],19,Other non-HH Prototype,0.46
104,WNiSi,0.073,0.577652115,[MgZn2],20,Other non-HH Prototype,-0.92
964,ErCoSn,0.073,0.134732508,MgSrSi (Pnma),27,Common non-HH Prototype,-0.23
976,TiIrSi,0.073,0.240126833,MgSrSi (Pnma),17,Common non-HH Prototype,0.63
1323,ErRuGe,0.072,0.394345807,MgSrSi (Pnma),26,Common non-HH Prototype,0.11
415,MgAlBi,0.072,0.245575567,phase_separating,16,Phase Separating,0.52
1031,CuAgTe,0.072,0.014607821,[CaF2],28,Other non-HH Prototype,0.8
732,ZrCuSn,0.071,0.1019431,MgSrSi (Pnma),19,Common non-HH Prototype,-0.2
1016,WFeSi,0.071,0.032496318,[MgZn2],18,Other non-HH Prototype,-0.22
1438,NbVCr,0.071,0.70560885,[Laves(cub)#MgCu2],16,Other non-HH Prototype,-0.05
276,LaMgGa,0.071,0.10108314,MoNiP (P-62m),14,Common non-HH Prototype,-0.63
790,GdFeCo,0.07,0.426584619,[Laves(cub)#MgCu2],20,Other non-HH Prototype,-0.64
1492,LuPtBi,0.07,0,Half Heusler (F-43m),18,Half Heusler,-0.86
1724,LuCuPb,0.07,0,LiGaGe (P63mc),18,Common non-HH Prototype,0.47
383,WNiCu,0.07,0.613845815,phase_separating,27,Phase Separating,-0.23
767,ErPdPb,0.07,0.033253326,MoNiP (P-62m),34,Common non-HH Prototype,0.79
344,TiMnAl,0.07,0.580721577,[MgZn2],14,Other non-HH Prototype,0.76
1021,NbNiAl,0.07,0.095397084,[MgZn2],18,Other non-HH Prototype,1
1789,NbVAl,0.07,0.828478571,phase_separating,13,Phase Separating,0.97
950,SrAgSn,0.069,0.165372486,[KHg2],23,Other non-HH Prototype,-0.12
167,ScIrGe,0.069,0.275028546,MgSrSi (Pnma),16,Common non-HH Prototype,0.44
52,DyMgPt,0.069,0.129900336,MoNiP (P-62m),30,Common non-HH Prototype,0.54
42,DyRhSi,0.069,0.43583856,MgSrSi (Pnma),25,Common non-HH Prototype,-0.73
1001,PrZnSn,0.068,0.182429993,[YPtAs],21,Other non-HH Prototype,0.07
1521,PrNiBi,0.068,0,Half Heusler (F-43m),20,Half Heusler,0.58
14,NaMgSb,0.068,0.072049252,[Cu2Sb],20,Other non-HH Prototype,-0.07
1809,LiBaSi,0.068,0.336792507,[LiBaSi],15,Other non-HH Prototype,0.02
1009,CdSbTe,0.067,0.49920311,phase_separating,23,Phase Separating,0.94
467,TbPdSn,0.067,0.085972833,MgSrSi (Pnma),31,Common non-HH Prototype,-0.43
36,SmMgIn,0.067,0.18667452,MoNiP (P-62m),19,Common non-HH Prototype,0.04
664,HoCoGe,0.067,0.315235842,MgSrSi (Pnma),26,Common non-HH Prototype,0.56
1513,TbPtSb,0.067,0,Half Heusler (F-43m),26,Half Heusler,0.29
428,AgAlPb,0.067,0.226396455,phase_separating,18,Phase Separating,0.53
1296,EuAgSb,0.067,0.055641632,AsHgK (P63/mmc),25,Common non-HH Prototype,0.82
1152,PrAgPb,0.066,0.040278293,LiGaGe (P63mc),20,Common non-HH Prototype,-0.68
147,InPbTe,0.066,0.325166637,phase_separating,13,Phase Separating,-0.9
378,TiOsSi,0.066,0.42767865,[TiFeSi],16,Other non-HH Prototype,0.31
1011,HoCuIn,0.066,0.113559357,MoNiP (P-62m),27,Common non-HH Prototype,0.16
302,YbMnSi,0.065,0.488781279,MgSrSi (Pnma),27,Common non-HH Prototype,0.65
337,DyMnGe,0.065,0.369483493,MgSrSi (Pnma),23,Common non-HH Prototype,0.06
1544,TbIrGe,0.065,0.346438842,MgSrSi (Pnma),24,Common non-HH Prototype,-0.43
1512,ScPtSb,0.065,0,Half Heusler (F-43m),18,Half Heusler,0.6
1573,YbPdBi,0.065,0.013663604,Half Heusler (F-43m),37,Half Heusler,0.62
1413,ErAuSn,0.065,0,Half Heusler (F-43m),29,Half Heusler,0.57
1804,LiSrBi,0.065,0.150751253,MgSrSi (Pnma),16,Common non-HH Prototype,0.38
736,DyReB,0.064,0.780779138,phase_separating,22,Phase Separating,-0.29
350,ScAlGe,0.064,0.39825942,[YAlGe],10,Other non-HH Prototype,-0.96
23,TbNiZn,0.064,0.186013324,MoNiP (P-62m),33,Common non-HH Prototype,-0.6
1403,MnAuSn,0.064,0.074360835,Half Heusler (F-43m),22,Half Heusler,-0.74
1837,CuHgSn,0.064,0.103335825,phase_separating,27,Phase Separating,0.42
1105,YbMgSn,0.064,0.104198689,MoNiP (P-62m),28,Common non-HH Prototype,-0.79
12,YbMgAu,0.064,0.129763027,MgSrSi (Pnma),35,Common non-HH Prototype,-0.87
343,HfIrGe,0.064,0.115306698,MgSrSi (Pnma),17,Common non-HH Prototype,-0.61
638,SmPdIn,0.064,0.171866876,MoNiP (P-62m),27,Common non-HH Prototype,0.2
572,HoPdAs,0.063,0.09627129,MgSrSi (Pnma),34,Common non-HH Prototype,-0.22
956,LaCeSi,0.063,0.082572983,phase_separating,10,Phase Separating,-0.7
936,TaRuSi,0.062,0.35503036,[TiFeSi],17,Other non-HH Prototype,-0.41
459,SmAlSi,0.062,0.455548582,[LaPtSi],15,Other non-HH Prototype,0.78
635,PrIrGe,0.062,0.378976005,MgSrSi (Pnma),18,Common non-HH Prototype,-0.19
1864,ZrRhBi,0.061,0,Half Heusler (F-43m),18,Half Heusler,0.19
126,MnIrGe,0.061,0.114861893,MgSrSi (Pnma),20,Common non-HH Prototype,-0.23
1249,TmPdPb,0.061,0.033082177,MoNiP (P-62m),35,Common non-HH Prototype,-0.89
574,CeMgTl,0.061,0.14218032,MoNiP (P-62m),14,Common non-HH Prototype,0.6
920,TiPtSi,0.061,0.057843139,MgSrSi (Pnma),18,Common non-HH Prototype,0.52
1476,UNiZn,0.061,0.350196828,MoNiP (P-62m),25,Common non-HH Prototype,-0.36
713,ErIrSn,0.061,0.14515817,MoNiP (P-62m),27,Common non-HH Prototype,0.59
207,ScIrSi,0.06,0.433714163,MgSrSi (Pnma),16,Common non-HH Prototype,1
934,NdNiIn,0.06,0.14959691,MoNiP (P-62m),19,Common non-HH Prototype,-0.36
1277,AgAuTe,0.06,0.07154856,phase_separating,28,Phase Separating,-0.4
50,PuRhGa,0.06,0.253277053,MoNiP (P-62m),20,Common non-HH Prototype,0.78
465,TiCuAg,0.06,0.43675881,phase_separating,26,Phase Separating,-0.54
272,GdAsTe,0.06,0.582350925,MgSrSi (Pnma),14,Common non-HH Prototype,0.44
1143,CrNiAs,0.059,0.163457944,MoNiP (P-62m),21,Common non-HH Prototype,-0.79
1473,DyPdGa,0.059,0.232267283,MgSrSi (Pnma),31,Common non-HH Prototype,0.12
1700,LuFeAl,0.058,0.400314121,[MgZn2],14,Other non-HH Prototype,0.2
1628,NiBiTe,0.058,0.163997978,phase_separating,21,Phase Separating,0.68
498,ScAuGe,0.058,0.02913092,LiGaGe (P63mc),18,Common non-HH Prototype,-0.62
701,CuAgAu,0.058,0.209277652,phase_separating,33,Phase Separating,0.59
1870,SmPtAs,0.058,0.144998248,[YPtAs],23,Other non-HH Prototype,-0.44
987,LuRhIn,0.058,0.121310933,MgSrSi (Pnma),15,Common non-HH Prototype,0.64
863,HfNiSi,0.057,0.095524553,MgSrSi (Pnma),18,Common non-HH Prototype,-0.54
445,HoPtGa,0.057,0.225118528,MgSrSi (Pnma),26,Common non-HH Prototype,-0.9
